Transaction_ID,Customer_ID,Transaction_Date,Transaction_Time,Amount,Merchant,Merchant_Category,Location,Transaction_Type,Payment_Method,Device_Type,Customer_Age,Account_Age,Previous_Transactions,Failed_Transactions,Transaction_Frequency,International_Transaction,Fraud
TXN00000001,CUST01310,2023-09-17,07:24:58,558.29,Home Depot,Home Improvement,"Philadelphia, PA",Refund,Credit Card,ATM,56,108,217,13,42,No,0
TXN00000002,CUST00229,2023-01-07,02:47:14,434.36,Starbucks,Food & Beverage,"Houston, TX",Refund,Credit Card,Mobile,69,26,392,1,35,No,0
TXN00000003,CUST00052,2023-03-21,17:47:12,173.66,Starbucks,Food & Beverage,"Boston, MA",Refund,Credit Card,POS Terminal,46,165,404,3,22,No,0
TXN00000004,CUST00564,2024-05-04,15:41:30,265.25,Venmo Transfer,Money Transfer,"San Antonio, TX",Purchase,Debit Card,POS Terminal,32,151,94,18,24,No,0
TXN00000005,CUST00502,2023-12-02,09:06:38,49.44,Shell Gas,Gas & Fuel,"Chicago, IL",Purchase,Credit Card,Desktop,60,85,243,15,10,No,0
TXN00000006,CUST00458,2023-11-19,20:56:48,277.86,Lyft,Transportation,International - Canada,Subscription,PayPal,POS Terminal,25,168,446,16,2,Yes,0
TXN00000007,CUST00286,2024-01-21,00:34:39,106.63,Lyft,Transportation,"Seattle, WA",Purchase,Debit Card,Tablet,78,151,106,1,28,No,0
TXN00000008,CUST00210,2024-03-25,11:01:40,337.26,Chase ATM,ATM,"Houston, TX",Subscription,Bank Transfer,Tablet,38,123,389,16,41,No,0
TXN00000009,CUST01386,2024-04-07,19:15:15,200.82,Target,Retail,"New York, NY",Purchase,Bank Transfer,Mobile,56,144,247,18,37,No,0
TXN00000010,CUST01117,2024-03-06,12:59:06,68.85,Walmart,Retail,"Boston, MA",Purchase,Debit Card,Desktop,75,68,13,7,17,No,1
TXN00000011,CUST00179,2023-08-14,20:25:48,32.44,Google Play,Subscription,"San Diego, CA",Transfer,Credit Card,Mobile,36,104,160,19,6,No,1
TXN00000012,CUST01210,2023-01-29,18:03:03,66.66,Best Buy,Electronics,"Denver, CO",Purchase,Credit Card,Mobile,40,80,70,5,43,No,0
TXN00000013,CUST00865,2024-01-14,15:35:37,151.65,Home Depot,Home Improvement,"Los Angeles, CA",Transfer,Credit Card,Mobile,28,159,151,11,5,No,1
TXN00000014,CUST00066,2023-11-07,10:34:55,45.64,Chase ATM,ATM,"San Jose, CA",Purchase,Debit Card,ATM,28,53,456,17,39,No,1
TXN00000015,CUST00062,2024-01-13,13:34:43,101.15,Bank Transfer,Money Transfer,"Houston, TX",Purchase,Debit Card,Desktop,41,106,74,1,7,No,0
TXN00000016,CUST00192,2024-02-03,17:38:39,448.19,PayPal,Money Transfer,"Philadelphia, PA",Subscription,Crypto,Mobile,70,153,375,18,32,No,1
TXN00000017,CUST00448,2024-04-04,01:46:14,497.64,Apple Store,Electronics,"Miami, FL",Refund,Bank Transfer,Mobile,53,44,214,9,4,No,0
TXN00000018,CUST00477,2024-04-19,23:05:54,215.68,Best Buy,Electronics,"Dallas, TX",Purchase,Debit Card,POS Terminal,57,140,367,2,21,No,1
TXN00000019,CUST01035,2024-06-11,03:17:12,623.87,Walmart,Retail,"Las Vegas, NV",Refund,Crypto,POS Terminal,41,90,50,11,42,No,0
TXN00000020,CUST01233,2024-01-14,23:08:35,26.62,Netflix,Subscription,"Miami, FL",Refund,Debit Card,Tablet,20,101,385,15,32,No,1
TXN00000021,CUST00055,2023-06-30,03:02:13,412.98,Amazon,E-commerce,"Las Vegas, NV",Withdrawal,Gift Card,Mobile,39,97,142,11,18,No,0
TXN00000022,CUST01150,2023-02-17,03:37:02,576.18,McDonald's,Food & Beverage,"Houston, TX",Withdrawal,Debit Card,Mobile,70,9,418,7,33,No,1
TXN00000023,CUST00408,2024-02-15,08:23:24,122.98,Venmo Transfer,Money Transfer,"Seattle, WA",Purchase,Credit Card,Desktop,19,12,35,4,14,No,0
TXN00000024,CUST01467,2023-01-15,18:33:07,45.81,Apple Store,Electronics,"Dallas, TX",Purchase,Bank Transfer,Mobile,41,69,499,10,6,No,0
TXN00000025,CUST01331,2023-11-24,18:44:05,294.91,Bank Transfer,Money Transfer,"San Diego, CA",Purchase,PayPal,Mobile,61,28,373,9,11,No,1
TXN00000026,CUST01437,2024-03-23,16:56:14,18.56,Apple Store,Electronics,"Chicago, IL",Transfer,Credit Card,POS Terminal,47,56,475,2,46,No,0
